annee;etablissement;academie;domaine;discipline;situation;remarque;nombre_de_reponses;taux_de_reponse;poids_de_la_discipline;taux_dinsertion;taux_d_emploi;taux_d_emploi_salarie_en_france;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
2018;Nice - Sophia-Antipolis;Nice;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;46.0;87.0;8.0;96.0;;;80.0;74.0;83.0;1700.0;26500.0;30.0;9.0;1860.0;37.0;45.0;36.0;1410.0;2240.0
2018;Montpellier 3 - Paul-Valéry;Montpellier;Sciences humaines et sociales;Information communication;18 mois après le diplôme;;54.0;76.0;13.0;72.0;;;59.0;59.0;95.0;1550.0;24200.0;53.0;9.3;1810.0;29.0;49.0;85.0;1410.0;2170.0
2018;Saint-Etienne - Jean Monnet;Lyon;Droit, économie et gestion;Droit;30 mois après le diplôme;;30.0;74.0;12.0;97.0;;;88.0;71.0;97.0;1920.0;29900.0;26.0;7.0;1890.0;57.0;45.0;80.0;1480.0;2270.0
2016;Strasbourg;Strasbourg;Sciences humaines et sociales;Information communication;18 mois après le diplôme;;38.0;70.0;4.0;92.0;;;84.0;12.0;80.0;1710.0;26700.0;31.0;8.3;1780.0;51.0;74.0;52.0;1415.0;2070.0
2020;Lille;Lille;Sciences, technologies et santé;Informatique;18 mois après le diplôme;;78.0;83.0;4.0;96.0;95;86;100.0;90.0;100.0;2310.0;36000.0;29.4;8.7;1950.0;99.0;18.0;23.0;1520.0;2340.0
2020;Lyon 2 - Lumière;Lyon;Droit, économie et gestion;Économie;18 mois après le diplôme;;133.0;79.0;19.0;91.0;90;77;77.0;76.0;99.0;2200.0;34300.0;38.42;6.1;1980.0;49.0;43.0;47.0;1510.0;2390.0
2013;Lyon 3 - Jean Moulin;Lyon;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;;49.0;79.0;6.0;76.0;;;65.0;34.0;91.0;1700.0;26500.0;23.0;8.9;1830.0;41.0;32.0;59.0;1780.0;2200.0
2015;Clermont Auvergne;Clermont-Ferrand;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;357.0;80.0;55.0;92.0;;;83.0;78.0;96.0;1850.0;28900.0;35.0;7.6;1825.0;51.0;42.0;62.0;1460.0;2180.0
2015;Clermont Auvergne;Clermont-Ferrand;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;77.0;85.0;11.0;85.0;;;71.0;39.0;88.0;1400.0;21800.0;35.0;7.6;1825.0;28.0;40.0;80.0;1460.0;2180.0
2015;Strasbourg;Strasbourg;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;338.0;79.0;31.0;89.0;;;89.0;64.0;95.0;1980.0;30900.0;26.0;8.6;1800.0;74.0;52.0;38.0;1430.0;2120.0
2015;Le Havre;Normandie;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;93.0;68.0;63.0;90.0;;;73.0;67.0;99.0;1900.0;29600.0;33.0;8.9;1810.0;37.0;50.0;69.0;1470.0;2160.0
2015;Paris-Est Marne-la-Vallée;Créteil;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;119.0;74.0;22.0;86.0;;;85.0;74.0;97.0;1900.0;29600.0;16.0;7.8;2060.0;75.0;30.0;56.0;1600.0;2570.0
2015;Amiens - Picardie Jules-Verne;Amiens;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;34.0;72.0;9.0;100.0;;;88.0;84.0;100.0;1830.0;28500.0;33.0;11.1;1825.0;58.0;58.0;46.0;1475.0;2140.0
2016;Aix-Marseille;Aix-Marseille;Sciences, technologies et santé;Informatique;18 mois après le diplôme;;40.0;66.0;3.0;88.0;;;100.0;92.0;100.0;1980.0;30900.0;34.0;10.2;1800.0;97.0;30.0;18.0;1410.0;2140.0
2016;Angers;Nantes;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;;63.0;79.0;10.0;92.0;;;98.0;76.0;98.0;1960.0;30500.0;37.0;7.2;1745.0;71.0;58.0;74.0;1425.0;2030.0
2016;Lorraine;Nancy-Metz;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;;34.0;78.0;3.0;85.0;;;77.0;48.0;88.5;1690.0;26350.0;36.0;8.3;1780.0;46.0;41.0;53.0;1415.0;2070.0
2016;Lorraine;Nancy-Metz;Sciences, technologies et santé;Informatique;30 mois après le diplôme;;60.0;83.0;5.0;97.0;;;98.0;93.0;98.0;2600.0;40600.0;36.0;8.3;1780.0;98.0;65.0;9.0;1415.0;2070.0
2016;Bretagne-Sud;Rennes;Droit, économie et gestion;Gestion;30 mois après le diplôme;;79.0;65.0;29.0;96.0;;;80.0;92.0;100.0;1820.0;28300.0;32.0;7.2;1750.0;1.0;35.0;56.0;1405.0;2040.0
2016;Université Polytechnique Hauts-de-France;Lille;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;;81.0;78.0;24.0;94.0;;;99.0;86.0;100.0;2000.0;31200.0;29.0;10.9;1810.0;69.0;25.0;35.0;1470.0;2100.0
2016;Littoral - Côte d'Opale;Lille;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;199.0;58.0;71.0;91.0;;;87.0;87.0;97.0;2000.0;31200.0;26.0;10.9;1810.0;43.0;51.0;55.0;1470.0;2100.0
2016;Lille;Lille;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;317.0;82.0;19.0;90.0;;;93.0;70.0;97.0;1880.0;29300.0;29.0;10.9;1810.0;75.0;37.0;39.0;1470.0;2100.0
2016;Artois;Lille;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;31.0;79.0;11.0;97.0;;;90.0;86.0;100.0;2000.0;31200.0;38.0;10.9;1810.0;49.0;20.0;67.0;1470.0;2100.0
2016;Clermont Auvergne;Clermont-Ferrand;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;84.0;81.0;13.0;80.0;;;69.0;33.0;85.0;1460.0;22800.0;38.0;7.5;1800.0;49.0;49.0;73.0;1450.0;2120.0
2016;Strasbourg;Strasbourg;Droit, économie et gestion;Droit;18 mois après le diplôme;;144.0;72.0;15.0;94.0;;;88.0;66.0;97.0;1830.0;28500.0;31.0;8.3;1780.0;64.0;55.0;60.0;1415.0;2070.0
2016;Strasbourg;Strasbourg;Lettres, langues, arts;Lettres, langues, arts;18 mois après le diplôme;;97.0;71.0;10.0;86.0;;;74.0;56.0;77.0;1500.0;23400.0;31.0;8.3;1780.0;43.0;50.0;82.0;1415.0;2070.0
2016;Strasbourg;Strasbourg;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;;97.0;71.0;10.0;90.0;;;63.0;69.0;75.0;1600.0;25000.0;31.0;8.3;1780.0;33.0;50.0;82.0;1415.0;2070.0
2016;Lyon 1 - Claude Bernard;Lyon;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;154.0;83.0;32.0;84.0;;;95.0;44.0;97.0;1890.0;29500.0;27.0;7.5;1800.0;69.0;47.0;66.0;1450.0;2120.0
2011;Lille 1 - Sciences technologies;Lille;Droit, économie et gestion;Gestion;30 mois après le diplôme;;357.0;81.0;40.0;92.0;;;95.0;85.0;97.0;1950.0;30400.0;22.0;12.8;1750.0;63.0;40.0;59.0;1460.0;2180.0
2012;Tours;Orléans-Tours;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;109.0;74.0;27.0;83.0;;;91.0;64.0;98.0;1690.0;26400.0;27.0;9.8;1780.0;58.0;55.0;66.0;1460.0;2110.0
2012;Tours;Orléans-Tours;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;51.0;82.0;13.0;69.0;;;91.0;29.0;91.0;1855.0;29100.0;27.0;9.8;1780.0;44.0;62.0;68.0;1460.0;2110.0
2012;Grenoble 2 - Pierre Mendès France;Grenoble;Droit, économie et gestion;Droit;18 mois après le diplôme;;39.0;74.0;8.0;69.0;;;88.0;71.0;97.0;1920.0;29900.0;29.0;8.9;1780.0;57.0;34.0;74.0;1430.0;2130.0
2012;Lorraine;Nancy-Metz;Sciences humaines et sociales;Information communication;30 mois après le diplôme;;54.0;80.0;5.0;78.0;;;64.0;57.0;86.0;1550.0;24200.0;30.0;10.7;1760.0;28.0;56.0;59.0;1400.0;2050.0
2016;La Rochelle;Poitiers;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;51.0;74.0;20.0;77.0;;;82.0;43.0;82.0;1690.0;26400.0;31.0;8.1;1725.0;51.0;52.0;72.0;1380.0;2025.0
2016;La Rochelle;Poitiers;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;;45.0;77.0;17.0;93.0;;;100.0;98.0;100.0;2110.0;32900.0;31.0;8.1;1725.0;81.0;82.0;13.0;1380.0;2025.0
2016;Dijon - Bourgogne;Dijon;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;98.0;75.0;19.0;87.0;;;81.0;42.0;80.0;1580.0;24600.0;38.0;7.5;1780.0;53.0;51.0;79.0;1430.0;2060.0
2016;Brest - Bretagne occidentale;Rennes;Masters enseignement;Masters enseignement;18 mois après le diplôme;;62.0;79.0;100.0;97.0;;;98.0;85.0;90.0;1800.0;28100.0;24.0;7.2;1750.0;90.0;65.0;67.0;1405.0;2040.0
2016;Brest - Bretagne occidentale;Rennes;Droit, économie et gestion;Gestion;18 mois après le diplôme;;75.0;75.0;17.0;89.0;;;95.0;73.0;98.0;1770.0;27600.0;41.0;7.2;1750.0;48.0;38.0;58.0;1405.0;2040.0
2016;Toulouse - Jean Jaures;Toulouse;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;46.0;71.0;13.0;85.0;;;87.0;76.0;98.0;1980.0;30900.0;47.0;10.3;1770.0;23.0;51.0;80.0;1380.0;2060.0
2016;Toulouse - Jean Jaures;Toulouse;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;77.0;80.0;18.0;81.0;;;88.0;36.0;88.0;1500.0;23500.0;47.0;10.3;1770.0;40.0;55.0;61.0;1380.0;2060.0
2016;Bordeaux - Montaigne;Bordeaux;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;219.0;82.0;71.0;89.0;;;91.0;51.0;90.0;1700.0;26400.0;45.0;8.1;1725.0;68.0;50.0;65.0;1380.0;2025.0
2016;Bordeaux - Montaigne;Bordeaux;Sciences humaines et sociales;Autres sciences humaines et sociales;18 mois après le diplôme;;58.0;85.0;19.0;76.0;;;89.0;40.0;83.0;1530.0;23900.0;45.0;8.1;1725.0;74.0;53.0;58.0;1380.0;2025.0
2016;Montpellier 3 - Paul-Valéry;Montpellier;Lettres, langues, arts;Lettres, langues, arts;18 mois après le diplôme;;87.0;65.0;27.0;78.0;;;66.0;58.0;74.0;1460.0;22800.0;50.0;10.3;1770.0;27.0;67.0;72.0;1380.0;2060.0
2016;Rennes 1;Rennes;Droit, économie et gestion;Droit;18 mois après le diplôme;;46.0;73.0;9.0;88.0;;;95.0;70.0;92.0;1800.0;28100.0;28.0;7.2;1750.0;55.0;73.0;78.0;1405.0;2040.0
2016;Tours;Orléans-Tours;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;43.0;80.0;11.0;93.0;;;93.0;52.0;67.0;1700.0;26700.0;30.0;8.3;1830.0;70.0;46.0;92.0;1490.0;2130.0
2016;Tours;Orléans-Tours;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;102.0;70.0;28.0;92.0;;;85.0;43.0;95.0;1600.0;25000.0;30.0;8.3;1830.0;44.0;78.0;54.0;1490.0;2130.0
2016;Tours;Orléans-Tours;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;102.0;70.0;28.0;91.0;;;94.0;73.0;98.0;1790.0;28000.0;30.0;8.3;1830.0;53.0;78.0;54.0;1490.0;2130.0
2016;Grenoble Alpes;Grenoble;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;37.0;81.0;3.0;92.0;;;93.0;40.0;65.0;1700.0;26700.0;27.0;7.5;1800.0;76.0;31.0;78.0;1450.0;2120.0
2011;Limoges;Limoges;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;;30.0;91.0;8.0;93.0;;;98.0;87.0;100.0;2100.0;32800.0;26.0;8.9;1720.0;83.0;47.0;24.0;1450.0;2180.0
2014;Besançon - Franche-Comté;Besançon;Droit, économie et gestion;Gestion;18 mois après le diplôme;;44.0;70.0;15.0;86.0;;;68.0;61.0;94.0;1750.0;27300.0;37.0;8.4;1780.0;35.0;47.0;70.0;1420.0;2090.0
2014;Poitiers;Poitiers;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;40.0;61.0;8.0;83.0;;;79.0;59.0;91.0;1855.0;29100.0;40.0;9.0;1750.0;52.0;80.0;15.0;1390.0;2060.0
2014;Antilles;Guadeloupe;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;28.0;61.0;52.0;87.0;;;61.0;42.0;88.0;1980.0;30900.0;47.0;8.6;1830.0;30.0;44.0;60.0;1450.0;2180.0
2015;Nice - Sophia-Antipolis;Nice;Sciences, technologies et santé;Autres sciences, technologies et santé;18 mois après le diplôme;;53.0;85.0;8.0;92.0;;;81.0;53.0;94.0;1750.0;27300.0;33.0;10.3;1830.0;47.0;57.0;60.0;1410.0;2200.0
2015;Besançon - Franche-Comté;Besançon;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;31.0;76.0;9.0;94.0;;;92.0;58.5;96.0;1800.0;28100.0;32.0;7.6;1780.0;63.0;54.0;38.0;1420.0;2090.0
2015;Brest - Bretagne occidentale;Rennes;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;154.0;77.0;38.0;90.0;;;81.0;68.0;96.0;1790.0;27900.0;37.0;7.4;1750.0;45.0;47.0;60.0;1420.0;2080.0
2015;Toulouse - Jean Jaures;Toulouse;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;85.0;78.0;20.0;80.0;;;68.0;26.0;80.0;1480.0;23100.0;43.0;10.5;1770.0;39.0;51.0;57.0;1400.0;2110.0
2015;Bordeaux;Bordeaux;Masters enseignement;Masters enseignement;30 mois après le diplôme;;224.0;74.0;100.0;96.0;;;92.0;87.0;94.0;1800.0;28100.0;17.0;8.4;1750.0;88.0;39.0;79.0;1390.0;2060.0
2015;Montpellier;Montpellier;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;379.0;67.0;45.0;85.0;;;91.0;57.0;92.0;1790.0;28000.0;33.0;10.5;1770.0;55.0;64.0;47.0;1400.0;2110.0
2015;Montpellier;Montpellier;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;203.0;66.0;24.0;80.0;;;91.0;49.0;94.0;1700.0;26500.0;33.0;10.5;1770.0;54.0;64.0;50.0;1400.0;2110.0
2015;Rennes 1;Rennes;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;123.0;71.0;22.0;79.0;;;78.0;37.0;99.0;1590.0;24800.0;31.0;7.4;1750.0;46.0;68.0;62.0;1420.0;2080.0
2015;Rennes 2;Rennes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;41.0;80.0;9.0;100.0;;;76.0;90.0;93.0;1810.0;28300.0;40.0;7.4;1750.0;33.0;58.0;34.0;1420.0;2080.0
2015;Tours;Orléans-Tours;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;;30.0;80.0;7.0;93.0;;;88.0;66.0;97.0;2000.0;31200.0;27.0;8.3;1830.0;60.0;42.0;76.0;1490.0;2180.0
2015;Grenoble Alpes;Grenoble;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;198.0;66.0;21.0;83.0;;;89.0;58.0;86.0;1650.0;25700.0;35.0;7.6;1825.0;57.0;44.0;65.0;1460.0;2180.0
2015;Rouen;Normandie;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;111.0;62.0;36.0;93.0;;;66.0;83.0;99.0;1950.0;30400.0;38.0;8.9;1810.0;44.0;40.0;64.0;1470.0;2160.0
2015;Paris-Est Marne-la-Vallée;Créteil;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;;47.0;73.0;9.0;90.0;;;69.0;67.0;90.0;1700.0;26500.0;16.0;7.8;2060.0;28.0;16.0;72.0;1600.0;2570.0
2015;Versailles Saint-Quentin-en-Yvelines;Versailles;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;32.0;42.0;7.0;77.0;;;88.0;66.0;97.0;2000.0;31200.0;9.0;7.8;2060.0;60.0;42.0;64.0;1600.0;2570.0
2016;Brest - Bretagne occidentale;Rennes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;18 mois après le diplôme;;176.0;83.0;38.0;88.0;;;92.0;64.0;95.0;1880.0;29300.0;41.0;7.2;1750.0;64.0;53.0;27.0;1405.0;2040.0
2016;Bordeaux - Montaigne;Bordeaux;Lettres, langues, arts;Lettres, langues, arts;18 mois après le diplôme;;84.0;75.0;29.0;75.0;;;80.0;43.0;62.0;1600.0;24900.0;45.0;8.1;1725.0;53.0;49.0;75.0;1380.0;2025.0
2016;Bordeaux;Bordeaux;Droit, économie et gestion;Droit;30 mois après le diplôme;;97.0;82.0;10.0;95.0;;;87.0;72.0;95.0;1880.0;29400.0;33.0;8.1;1725.0;65.0;45.0;62.0;1380.0;2025.0
2016;Montpellier;Montpellier;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;182.0;79.0;20.0;82.0;;;87.0;48.0;97.0;1700.0;26500.0;32.0;10.3;1770.0;51.0;64.0;76.0;1380.0;2060.0
2016;Rennes 1;Rennes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;230.0;80.0;40.0;91.0;;;92.0;70.0;97.0;1900.0;29600.0;28.0;7.2;1750.0;72.0;61.0;40.0;1405.0;2040.0
2016;Tours;Orléans-Tours;Droit, économie et gestion;Gestion;30 mois après le diplôme;;83.0;62.0;26.0;94.0;;;92.0;85.0;99.0;2080.0;32500.0;30.0;8.3;1830.0;64.0;45.0;55.0;1490.0;2130.0
2016;Grenoble Alpes;Grenoble;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;248.0;76.0;23.0;89.0;;;84.0;53.0;86.0;1750.0;27300.0;27.0;7.5;1800.0;61.0;47.0;65.0;1450.0;2120.0
2016;Reims - Champagne Ardenne;Reims;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;38.0;78.0;11.0;89.0;;;91.0;73.0;100.0;1800.0;28100.0;43.0;8.3;1780.0;44.0;52.0;57.0;1415.0;2070.0
2016;Bretagne-Sud;Rennes;Sciences, technologies et santé;Sciences de l'ingénieur;18 mois après le diplôme;;65.0;82.0;20.0;92.0;;;100.0;78.0;100.0;1900.0;29600.0;32.0;7.2;1750.0;81.0;59.0;4.0;1405.0;2040.0
2016;Clermont Auvergne;Clermont-Ferrand;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;29.0;77.0;5.0;80.0;;;77.0;48.0;88.5;1690.0;26350.0;38.0;7.5;1800.0;46.0;41.0;61.0;1450.0;2120.0
2016;Strasbourg;Strasbourg;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;168.0;81.0;15.0;87.0;;;75.0;54.0;79.0;1700.0;26500.0;31.0;8.3;1780.0;59.0;47.0;65.0;1415.0;2070.0
2016;Strasbourg;Strasbourg;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;57.0;88.0;5.0;93.0;;;89.0;49.0;52.0;1700.0;26700.0;31.0;8.3;1780.0;80.0;40.0;80.0;1415.0;2070.0
2016;Mulhouse - Haute Alsace;Strasbourg;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;81.0;62.0;43.0;94.0;;;81.0;83.0;99.0;2000.0;31200.0;28.0;8.3;1780.0;53.0;47.0;49.0;1415.0;2070.0
2016;Lyon 2 - Lumière;Lyon;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;;213.0;69.0;35.0;94.0;;;89.0;80.0;95.0;2000.0;31200.0;36.0;7.5;1800.0;56.0;39.0;55.0;1450.0;2120.0
2013;Nice - Sophia-Antipolis;Nice;Droit, économie et gestion;Droit;30 mois après le diplôme;;73.0;82.0;12.0;93.0;;;80.0;84.0;96.0;2000.0;31200.0;26.0;11.4;1840.0;48.0;32.0;68.0;1430.0;2210.0
2013;Caen Normandie;Normandie;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;294.0;75.0;53.0;91.0;;;81.0;70.0;97.0;1930.0;30200.0;36.0;10.2;1770.0;46.0;52.0;48.0;1440.0;2090.0
2013;Caen Normandie;Normandie;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;46.0;83.0;8.0;68.0;;;77.0;48.0;88.5;1690.0;26350.0;36.0;10.2;1770.0;46.0;46.0;67.0;1440.0;2090.0
2013;Caen Normandie;Normandie;Sciences humaines et sociales;Psychologie;30 mois après le diplôme;;34.0;78.0;6.0;94.0;;;94.0;53.0;72.0;1700.0;26700.0;36.0;10.2;1770.0;86.0;37.0;91.0;1440.0;2090.0
2013;La Rochelle;Poitiers;Droit, économie et gestion;Gestion;30 mois après le diplôme;;42.0;84.0;16.0;90.0;;;95.0;79.0;92.0;2030.0;31700.0;50.0;9.6;1730.0;68.0;66.0;50.0;1390.0;2040.0
2013;La Rochelle;Poitiers;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;;133.0;76.0;53.0;95.0;;;96.0;76.0;97.0;1900.0;29600.0;50.0;9.6;1730.0;67.0;65.0;24.0;1390.0;2040.0
2015;Nantes;Nantes;Droit, économie et gestion;Gestion;30 mois après le diplôme;;134.0;63.0;21.0;98.0;;;88.0;82.0;99.0;2190.0;34100.0;32.0;7.3;1760.0;67.0;58.0;55.0;1430.0;2070.0
2015;Nantes;Nantes;Sciences humaines et sociales;Psychologie;18 mois après le diplôme;;41.0;86.0;6.0;82.0;;;94.0;29.0;57.0;1700.0;26700.0;32.0;7.3;1760.0;86.0;37.0;92.0;1430.0;2070.0
2016;Toulon;Nice;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;98.0;82.0;44.0;88.0;;;80.0;63.0;96.0;1620.0;25200.0;41.0;10.2;1800.0;28.0;38.0;69.0;1410.0;2140.0
2016;Poitiers;Poitiers;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;73.0;69.0;12.0;97.0;;;94.0;79.0;94.0;2000.0;31200.0;37.0;8.1;1725.0;71.0;80.0;49.0;1380.0;2025.0
2017;Aix-Marseille;Aix-Marseille;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;;130.0;83.0;8.0;88.0;;;91.0;68.0;98.0;1840.0;28700.0;33.0;9.1;1840.0;55.0;53.0;56.0;1400.0;2220.0
2017;Caen Normandie;Normandie;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;74.0;79.0;12.0;86.0;;;93.0;40.0;68.0;1680.0;26200.0;32.0;8.0;1840.0;81.0;39.0;71.0;1460.0;2190.0
2017;Toulouse 3 - Paul Sabatier;Toulouse;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;;199.0;82.0;32.0;88.0;;;90.0;50.0;98.0;1680.0;26100.0;38.0;9.5;1790.0;61.0;38.0;63.0;1380.0;2130.0
2017;Bordeaux - Montaigne;Bordeaux;Masters enseignement;Masters enseignement;18 mois après le diplôme;;34.0;71.0;100.0;100.0;;;100.0;100.0;100.0;1750.0;27300.0;12.0;7.4;1760.0;97.0;78.0;69.0;1370.0;2100.0
2017;Bordeaux - Montaigne;Bordeaux;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;201.0;76.0;72.0;84.0;;;87.0;40.0;84.0;1500.0;23400.0;40.0;7.4;1760.0;56.0;53.0;68.0;1370.0;2100.0
2017;Grenoble Alpes;Grenoble;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;385.0;66.0;41.0;93.0;;;91.0;68.0;100.0;1990.0;31000.0;33.0;7.0;1860.0;67.0;43.0;53.0;1450.0;2220.0
2017;Grenoble Alpes;Grenoble;Sciences humaines et sociales;Histoire-géographie;18 mois après le diplôme;;41.0;67.0;4.0;75.0;;;77.0;48.0;88.5;1690.0;26350.0;33.0;7.0;1860.0;46.0;38.0;52.0;1450.0;2220.0
2017;Clermont Auvergne;Clermont-Ferrand;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;;84.0;86.0;12.0;85.0;;;53.0;38.0;80.0;1460.0;22700.0;38.0;7.0;1860.0;23.0;46.0;78.0;1450.0;2220.0
2017;Pau - Pays de l'Adour;Bordeaux;Masters enseignement;Masters enseignement;18 mois après le diplôme;;42.0;81.0;100.0;100.0;;;98.0;95.0;98.0;1750.0;27300.0;19.0;7.4;1760.0;97.0;74.0;52.0;1370.0;2100.0
2017;Perpignan - Via Domitia;Montpellier;Droit, économie et gestion;Gestion;30 mois après le diplôme;;108.0;77.0;48.0;91.0;;;94.0;84.0;100.0;1970.0;30700.0;50.0;9.5;1790.0;38.0;41.0;58.0;1380.0;2130.0
2017;Mulhouse - Haute Alsace;Strasbourg;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;;33.0;76.0;14.0;90.0;;;80.0;60.0;90.0;1690.0;26400.0;29.0;7.8;1820.0;43.0;46.0;77.0;1420.0;2150.0
2017;Lyon 3 - Jean Moulin;Lyon;Masters enseignement;Masters enseignement;18 mois après le diplôme;;53.0;69.0;100.0;94.0;;;93.0;91.0;98.0;1770.0;27600.0;26.0;7.0;1860.0;91.0;17.0;60.0;1450.0;2220.0
2017;Université de Paris;Paris;Sciences, technologies et santé;Sciences fondamentales;30 mois après le diplôme;;36.0;52.0;5.0;95.0;;;91.0;88.0;100.0;2400.0;37400.0;27.0;7.1;2120.0;82.0;14.0;46.0;1620.0;2620.0
2017;Rouen;Normandie;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;;146.0;76.0;39.0;93.0;;;89.0;77.0;95.0;1960.0;30500.0;36.0;8.0;1840.0;52.0;36.0;64.0;1460.0;2190.0
2017;Paris-Saclay;Versailles;Masters enseignement;Masters enseignement;18 mois après le diplôme;;46.0;62.0;100.0;96.0;;;98.0;100.0;100.0;1790.0;27900.0;9.0;7.1;2120.0;92.0;7.0;71.0;1620.0;2620.0
2017;Paris 8 - Vincennes Saint-Denis;Créteil;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;;32.0;78.0;9.0;81.0;;;88.0;66.0;97.0;2000.0;31200.0;38.0;7.1;2120.0;60.0;42.0;40.0;1620.0;2620.0
